territory_id,pair_id,reef_location,fish_id,fish_no,fertilizer_trt,total_length,standard_length,total_body_weight,gutted_body_weight,liver_weight,gonad_weight,sex,intestine_length,intestine_diameter_1,intestine_diameter_2,intestine_diameter_3,intestine_diameter_4,intestine_diameter_5,intestine_diameter_6,intestine_diameter_7,intestine_diameter_8,intestine_diameter_9,intestine_diameter_10,mean_intestine_diameter,intestinal_surface_area,gut_fullness_index,gonadosomatic_index,hepatosomatic_index,body_condition_factor
48,I-Backreef,Backreef,48-1,1,N,11.6,8.9,41.6,37.1,0.1367,0.1093,M,20.9,0.3,0.3,0.2,0.5,0.5,0.4,0.6,0.6,0.5,0.6,0.45,59.09335781,11.46630728,0.294609164,0.368463612,2.376839969
11,F-Fringing,Fringing,2-Nov,2,Y,12.6,9.4,52.7,48.1,0.1172,0.1418,M,25.3,0.3,0.3,0.4,0.5,0.4,0.5,0.4,0.5,0.5,0.6,0.44,69.94441884,9.024948025,0.294802495,0.243659044,2.404547945
47,I-Backreef,Backreef,47-1,1,Y,14.2,11.1,79.1,74.7,0.4874,0.2251,M,27.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.6,0.43,73.75831232,4.936412316,0.301338688,0.652476573,2.608888802
54,L-Backreef,Backreef,54-5,5,Y,14,10.6,65,57.5,0.3865,0.1748,M,22.2,0.5,0.6,0.6,0.6,0.5,0.5,0.5,0.5,0.5,0.6,0.54,75.32282546,12.06730435,0.304,0.672173913,2.09548105
22,K-Fringing,Fringing,22-2,2,Y,9.1,7,18.5,16.9,0.1025,0.0519,M,23.4,0.2,0.2,0.3,0.2,0.3,0.2,0.3,0.2,0.2,0.3,0.24,35.28636869,8.553846154,0.307100592,0.606508876,2.242655304
11,F-Fringing,Fringing,4-Nov,4,Y,13.1,9.5,59.2,53,0.142,0.1646,M,37.8,0.5,0.4,0.3,0.3,0.3,0.4,0.4,0.5,0.4,0.5,0.4,95.00176184,11.11962264,0.310566038,0.267924528,2.357555811
44,G-Backreef,Backreef,44-1,1,Y,13.5,10.1,59.2,54.2,0.204,0.1737,F,28.9,0.3,0.4,0.4,0.2,0.4,0.4,0.4,0.4,0.4,0.4,0.37,67.18610049,8.528228782,0.320479705,0.376383764,2.202916222
26,M-Fringing,Fringing,26-1,1,N,12,9.4,39.5,35.6,0.2895,0.115,M,24.4,0.3,0.4,0.5,0.4,0.4,0.3,0.3,0.3,0.3,0.5,0.37,56.72459695,9.818820225,0.323033708,0.813202247,2.060185185
6,C-Fringing,Fringing,1-Jun,1,Y,11.6,8.7,36.8,34.1,0.087,0.1152,M,24.9,0.2,0.2,0.2,0.1,0.2,0.2,0.1,0.2,0.3,0.2,0.19,29.72574969,7.324926686,0.337829912,0.255131965,2.184642667
17,I-Fringing,Fringing,17-2,2,N,13.8,11,71.4,67.1,0.2183,0.228,M,39.2,0.3,0.3,0.3,0.3,0.3,0.4,0.3,0.3,0.3,0.3,0.31,76.35326785,5.743219076,0.339791356,0.32533532,2.5532025
57,N-Backreef,Backreef,57-2,2,Y,14.2,11.2,72.3,65.7,0.5518,0.2246,M,32.1,0.5,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.38,76.64229438,8.863926941,0.341856925,0.839878234,2.29456485
59,O-Backreef,Backreef,59-2,2,N,13.1,10.2,57.5,53.1,0.245,0.1829,M,22.2,0.3,0.3,0.3,0.3,0.4,0.3,0.3,0.3,0.3,0.5,0.33,46.03061556,7.480414313,0.344444444,0.461393597,2.362004029
56,M-Backreef,Backreef,56-2,2,N,13.8,10.5,59.9,54.1,0.47,0.1921,F,36.6,0.3,0.2,0.2,0.3,0.3,0.2,0.1,0.2,0.3,0.3,0.24,55.19149974,9.497042514,0.355083179,0.868761553,2.058543297
58,N-Backreef,Backreef,58-1,1,N,12.9,10,68.4,61.5,0.3975,0.2257,M,33.6,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.33,69.66795869,10.20617886,0.36699187,0.646341463,2.864877027
5,C-Fringing,Fringing,1-May,1,N,13.1,9.9,54.3,50.7,0.153,0.1871,M,39.8,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.5,0.29,72.52052482,6.429783037,0.369033531,0.301775148,2.255246785
32,A-Backreef,Backreef,32-1,1,Y,13.8,10.2,74.2,69.9,0.1006,0.2638,M,25.4,0.2,0.3,0.4,0.4,0.5,0.5,0.5,0.4,0.3,0.5,0.4,63.83716272,5.630329041,0.37739628,0.143919886,2.659744482
17,I-Fringing,Fringing,17-1,1,N,12.2,9.5,48.1,43.7,0.1614,0.1658,M,31.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.32,63.13344597,9.319908467,0.379405034,0.369336384,2.406589098
18,I-Fringing,Fringing,18-2,2,Y,11.1,7.2,36.4,32,0.2289,0.124,M,23.5,0.5,0.4,0.3,0.2,0.2,0.2,0.3,0.3,0.3,0.5,0.32,47.24955351,12.6471875,0.3875,0.7153125,2.33981242
